smiles,mouse,human,,series
ClC1=CC(NN=C2NC3CCN(S(=O)(C)=O)CC3)=C2C=C1C4CCN(C)CC4,120,120,ZLL-02-50,1
O=C(C1COC1)NC2=CC=C(C=C2)C3=CSC4=CN=C(NC5CCN(S(=O)(C)=O)CC5)N=C43,8,45.6,TYX-05-67,1
O=S(N(CC1)CCC1NC2=NC=C3C(C(C4=CC=C(NC(OC)=O)C=C4)=CS3)=N2)(C)=O,16,45.3,ZY-01-89,1
O=S(N(CC1)CCC1NC2=NC=C3C(C(C4=CC=C(C(NCC5(F)COC5)=O)C=C4)=CS3)=N2)(C)=O,1.95,9,TYX-05-60,1
O=C(OC)NC1=CC=C(C2=CSC3=CN=C(NC4CCN(S(CCN)(=O)=O)CC4)N=C32)C=C1,21.5,120,TYX-06-21,1
O=C(OC)NC1=CC=C(C(F)=C1)C2=CSC3=CN=C(NC4CCN(S(=O)(C)=O)CC4)N=C32,31.1,56.8,TYX-06-32,1
O=C(OC1COC1)NC2=CC=C(C=C2)C3=CSC4=CN=C(NC5CCN(S(=O)(C)=O)CC5)N=C43,7.73,31.4,TYX-05-66,1
O=C(OC)NC1=CC=C(C(F)=C1)C2=CSC3=CN=C(NC4CCN(S(=O)(CCN)=O)CC4)N=C32,38.3,120,TYX-07-27,1
NCCS(N(CC1)CCC1NC2=NC=C3C(C(C4=C(F)C=C(C(NCC5COCC5)=O)C=C4)=CS3)=N2)(=O)=O,58.2,120,TYX-07-35,1
O=C(OC)NC1=CC=C(C(C)=C1)C2=CSC3=CN=C(NC4CCN(S(=O)(CCN)=O)CC4)N=C32,31.6,120,TYX-07-60,1
O=C(OC(C)C)NC1=CC=C(C(F)=C1)C2=CSC3=CN=C(NC4CCN(S(=O)(CCN)=O)CC4)N=C32,51,120,TYX-07-61,1
O=C(OCC(F)(F)F)NC1=CC=C(C(F)=C1)C2=CSC3=CN=C(NC4CCN(S(=O)(CCN)=O)CC4)N=C32,30.9,120,TYX-07-62,1
O=C(OC)NC1=CC=C(C(Cl)=C1)C2=CSC3=CN=C(NC4CCN(S(=O)(CCN)=O)CC4)N=C32,26.1,120,TYX-07-63,1
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCC5(CCNCC5)CN3)N2N=C1,15,27,NPP-04-137,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCCC5(CCNCC5)CN3)N2N=C1,24.3,10.9,NPP-04-162,2
CC(C)C1=C2N=C3N=C(NCC4=CC(F)=CC=C4OCCCCC5(CCNCC5)CN3)N2N=C1,16.5,34.5,NPP-04-125,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OC[C@H](O)CCCC5(CCNCC5)CN3)N2N=C1,48.5,21.3,NPP-05-239-R,2
CC(C)C1=C2N=C3N=C(NCC4=CC(C(F)(F)F)=CC=C4OCCCCC5(CCNCC5)CN3)N2N=C1,114,92.4,NPP-04-138,2
CC(C)C1=C2N=C3N=C(NCC4=CC(C(F)(F)F)=CC=C4OCCCCCC5(CCNCC5)CN3)N2N=C1,316,65.4,NPP-05-130,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC(N4CCCCC5(CCNCC5)CN3)=O)N2N=C1,4.77,43.9,NPP-05-273,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCC(O)CCCC5(CCNCC5)CN3)N2N=C1,38.5,34.1,NPP-05-239-S,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCCC5(CCNCC5)CN3)N2N=C1,24.3,10.9,NPP-04-162,2
CC(C)C1=C2N=C3N=C(NCC4=CC(OC)=CC=C4OCCCCCC5(CCNCC5)CN3)N2N=C1,39.8,20.7,NPP-05-106,2
CC(C)C1=C2N=C3N=C(NCC4=CC=NC=C4OCCCCCC5(CCNCC5)CN3)N2N=C1,5.1,5.07,NPP-05-95,2
CC(C)C1=C2N=C3N=C(NCC4=CC=C(C)N=C4OCCCCCC5(CCNCC5)CN3)N2N=C1,15.7,46.8,NPP-05-206,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC(N4CCCCCCC5(CCNCC5)CN3)=O)N2N=C1,13.2,63,NPP-05-155,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4COCCCCC5(CCNCC5)CN3)N2N=C1,39.1,31.2,NPP-05-127,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4COC/C=C/CC5(CCNCC5)CN3)N2N=C1,14.4,24.1,NPP-05-126,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OC[C@H](O)CCCC5(CCNCC5)CN3)N2N=C1,59.7,46.2,NPP-05-239,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCCN3CC5CCNCC5)N2N=C1,4.99,84.5,NPP-04-40,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCCN3CC5CNC5)N2N=C1,73.7,,NPP-03-95,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCCN3CC5CNCC5)N2N=C1,8.4,,NPP-03-99,2
CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OCCCCCN3CC5CCN(C)CC5)N2N=C1,3.03,,NPP-03-117,2
CC(C)C1=C2N=C3N=C(NCC4=CC(S(=O)(C)=O)=CC=C4OCCCCCN3CC5CCNCC5)N2N=C1,3.09,74.5,NPP-05-57,2
CC1=C(CP(C)(C)=O)C2=C(C=C1)C(C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)=CN2,120,8.6,ZHJ-03-137,3
CP(C1=CC=CC2=C1NC=C2C3=NC(N[C@H]4CC[C@@H](C)NC4)=NC5=C3SC=C5)(C)=O,120,10.6,ZHJ-03-145,3
CP(C1=CC=CC2=C1NC=C2C3=NC(N[C@H]4CCNC4)=NC5=C3SC=C5)(C)=O,,10.7,ZHJ-04-107,3
O=[P](C)C1=CC=CC2=C1NC=C2C3=NC(N[C@H]4C[C@@H](C)NC4)=NC5=C3SC=C5,,10.6,ZY-01-85,3
CP(C1=CC=CC2=C1NC=C2C3=NC(N[C@H]4[C@@H](F)CNC4)=NC5=C3SC=C5)(C)=O,,6.2,ZY-01-84,3
CP(C1=CC=CC2=C1NC=C2C3=NC(NC4C5C4CNC5)=NC6=C3SC=C6)(C)=O,,6.6,ZHJ-05-10,3
CP(C1=CC=CC2=C1NC=C2C3=NC(N[C@@H]4C[C@@H](N)CC4)=NC5=C3SC=C5)(C)=O,120,48.8,JSY-03-61,3
CP(C1=C(C#N)C=CC2=C1NC=C2C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)(C)=O,120,23.3,ZHJ-04-161,3
CP(C1=CC(F)=CC2=C1NC=C2C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)(C)=O,120,14.5,ZHJ-04-176,3
CP(C1=CC=C(F)C2=C1NC=C2C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)(C)=O,120,14.1,ZHJ-04-182,3
CP(C1=CC(C(F)(F)F)=CC2=C1NC=C2C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)(C)=O,,85.6,ZHJ-05-109,3
CP(C1=CC(C#N)=CC2=C1NC=C2C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)(C)=O,120,106,ZHJ-06-6,3
CP(C1=NC=CC2=C1NC=C2C3=NC(N[C@H]4CCCNC4)=NC5=C3SC=C5)(C)=O,120,17.9,ZHJ-06-69,3
CP(C1=C(C#N)C=CC2=C1NC=C2C3=NC(N[C@H]4CCCN(C)C4)=NC5=C3SC=C5)(C)=O,,12.6,ZHJ-05-119,3
CP(C1=C(C#N)C=CC2=C1NC=C2C3=NC(N[C@H](CN)C)=NC4=C3SC=C4)(C)=O,,120,ZHJ-06-2,3
O=P(C)(C)C1=C(C#N)C=CC2=C1NC=C2C3=NC(N[C@H]4C[C@@H](F)CNC4)=NC5=C3SC=C5,120,120,ZHJ-05-112,3
CP(C1=C(C#N)C=CC2=C1NC=C2C3=NC(N[C@H]4C[C@H](F)CNC4)=NC5=C3SC=C5)(C)=O,72.2,50.6,ZHJ-06-155,3
CP(C1=C(C#N)C=CC2=C1NC=C2C3=NC(NC4CC(F)(F)CNC4)=NC5=C3SC=C5)(C)=O,22.6,20.7,ZHJ-07-8,3
O=P(C)(C)C1=C(C#N)C=CC2=C1NC=C2C3=NC4=C(SC=C4)C(N[C@H]5CCCNC5)=N3,120,103,ZHJ-04-158,3
